Date,Actual,Basic_nn,Complex_nn,xgb,rf,Baseline
86507,8107.22,8290.633,7986.3906,8569.212,7896.465158584639,8167.72
86508,8552.34,8875.742,8520.328,8830.42,7903.141679415521,8724.448
86509,9047.38,9166.906,8987.767,9190.536,8309.91120682537,9130.474
86510,9338.84,9351.679,9369.111,9394.849,8610.163635318599,9536.041
86511,9642.49,9549.671,9599.724,9816.191,8798.767562693156,9772.868
86512,9921.239999999998,9881.623,9737.49,9921.213,9065.869399970445,9939.3125
86513,10063.48,10082.869,9907.521,10034.008,9299.80214881538,10020.128
86514,10150.74,10131.659,10046.349,10163.027,9471.755103887815,10049.146
86515,10260.44,10198.811,10144.672,10161.307,9546.2354136333,10191.08
86516,10337.52,10282.707,10202.856,10136.908,9587.0119193862,10275.854
86517,10443.14,10347.979,10284.986,10094.305,9608.036858707545,10322.219
86518,10495.48,10412.436,10332.31,10347.4795,9620.083206512669,10430.567
86519,10503.94,10511.848,10441.761,10388.705,9628.548426815556,10537.219
