Date,Actual,Basic_nn
2009-07-12,8800.35,7317.813
2009-07-12,9301.33,7729.487
2009-07-12,9711.12,8514.554
2009-07-12,9880.97,9258.619
2009-07-12,9968.13,9840.718
2009-07-12,9927.6,10168.356
2009-07-12,9802.81,10213.855
2009-07-12,9734.06,10128.856
2009-07-12,9621.88,9944.659
2009-07-12,9543.25,9697.107
2009-07-12,9346.16,9496.722
2009-07-12,9176.67,9301.622
2009-07-12,8995.68,9082.593
2009-07-12,8886.9,8911.518
2009-07-12,8895.43,8758.363
2009-07-12,8962.89,8641.676
2009-07-12,9102.63,8645.503
2009-07-12,9425.19,8720.146
2009-07-12,10049.69,8811.881
2009-07-12,10801.65,9033.177
2009-07-12,10932.59,9506.114
2009-07-12,10842.23,10262.961
2009-07-12,10679.45,10847.51
2009-07-12,10506.41,10979.712
2009-07-12,10367.89,10878.674
2009-07-12,10243.38,10671.578
2009-07-12,9952.69,10516.174
2009-07-12,9623.62,10421.873
2009-07-12,9369.31,10267.536
2009-07-12,9074.67,10043.428
2009-07-12,8803.64,9797.56
2009-07-13,8474.26,9636.663
2009-07-13,8173.86,9371.023
2009-07-13,7908.51,9010.0
2009-07-13,7718.22,8866.238
2009-07-13,7457.27,8625.686
2009-07-13,7159.29,8434.933
2009-07-13,6905.1,8351.755
2009-07-13,6779.93,8114.415
2009-07-13,6713.7,7744.933
2009-07-13,6713.81,7493.6177
2009-07-13,6833.4,7331.936
2009-07-13,7140.06,7239.962
2009-07-13,7636.81,7246.382
2009-07-13,8456.17,7367.437
2009-07-13,9140.81,7646.5723
2009-07-13,9578.87,8169.535
2009-07-13,10058.0,9168.129
2009-07-13,10303.4,9898.691
2009-07-13,10325.51,10349.433
2009-07-13,10497.0,10799.248
2009-07-13,10410.81,10992.464
2009-07-13,10343.14,11098.776
2009-07-13,10302.34,11201.052
2009-07-13,10196.79,11195.497
2009-07-13,10117.82,11150.781
2009-07-13,10068.15,11020.958
2009-07-13,10021.64,10889.192
2009-07-13,9977.59,10795.592
2009-07-13,9917.99,10672.277
2009-07-13,9877.2,10531.238
2009-07-13,9848.25,10402.842
2009-07-13,9876.38,10289.168
2009-07-13,9976.86,10215.706
2009-07-13,10143.05,10183.814
2009-07-13,10548.01,10228.9375
2009-07-13,11149.79,10414.266
2009-07-13,11775.49,10779.916
2009-07-13,11840.63,11295.16
2009-07-13,11717.62,11881.168
2009-07-13,11492.07,12239.917
2009-07-13,11276.89,12303.105
2009-07-13,11180.01,12235.036
2009-07-13,10882.55,12082.148
2009-07-13,10514.51,11973.572
2009-07-13,10107.05,11908.224
2009-07-13,10076.29,11748.895
2009-07-13,9768.74,11489.88
2009-07-13,9549.57,11181.62
2009-07-14,9345.23,10884.624
2009-07-14,9063.7,10309.671
2009-07-14,8860.71,9824.989
2009-07-14,8694.41,9238.179
2009-07-14,8435.68,8987.416
2009-07-14,8002.68,8778.414
2009-07-14,7642.87,8637.272
2009-07-14,7377.23,8336.363
2009-07-14,7186.94,7905.266
2009-07-14,7156.98,7554.7124
2009-07-14,7192.09,7302.4575
2009-07-14,7543.42,7171.025
2009-07-14,7960.15,7154.8677
2009-07-14,8782.7,7298.343
2009-07-14,9563.17,7621.517
2009-07-14,9947.88,8248.229
2009-07-14,10518.33,9364.751
2009-07-14,10752.07,10162.442
2009-07-14,10752.96,10711.678
2009-07-14,10798.2,11193.919
2009-07-14,10723.92,11245.835
2009-07-14,10545.88,11170.373
2009-07-14,10455.33,11148.3955
2009-07-14,10337.33,11005.686
2009-07-14,10210.84,10907.056
2009-07-14,10105.12,10793.129
2009-07-14,10040.17,10643.02
2009-07-14,10058.88,10517.979
2009-07-14,9954.26,10433.451
2009-07-14,9973.04,10354.693
2009-07-14,9856.1,10254.599
2009-07-14,9854.14,10132.792
2009-07-14,9995.39,10114.125
2009-07-14,10141.01,10085.585
2009-07-14,10498.24,10175.223
2009-07-14,11195.07,10401.356
2009-07-14,11917.12,10721.955
2009-07-14,12084.71,11262.737
2009-07-14,12044.36,11931.928
2009-07-14,11811.53,12307.589
2009-07-14,11626.58,12371.13
2009-07-14,11495.75,12362.512
2009-07-14,11325.41,12308.411
2009-07-14,11000.9,12258.84
2009-07-14,10559.18,12179.913
2009-07-14,10560.7,11957.427
2009-07-14,10101.66,11650.813
2009-07-14,9846.9,11409.729
2009-07-15,9552.9,11317.2295
2009-07-15,9300.57,10882.069
2009-07-15,9048.58,10270.639
2009-07-15,8858.99,9732.939
2009-07-15,8580.59,9503.931
2009-07-15,8179.15,9349.489
2009-07-15,7810.55,9252.155
2009-07-15,7473.5,8917.842
2009-07-15,7312.55,8361.082
2009-07-15,7274.91,7917.5576
2009-07-15,7314.28,7595.641
2009-07-15,7586.94,7430.6772
2009-07-15,7987.87,7362.74
2009-07-15,8840.88,7456.9185
2009-07-15,9595.97,7839.459
2009-07-15,10047.93,8472.486
2009-07-15,10641.22,9728.701
2009-07-15,10936.66,10597.139
2009-07-15,10971.6,11131.937
2009-07-15,11039.28,11584.363
2009-07-15,10915.11,11614.0625
2009-07-15,10756.54,11503.154
2009-07-15,10582.13,11450.794
2009-07-15,10398.04,11306.554
2009-07-15,10216.79,11093.377
2009-07-15,10080.8,10896.781
2009-07-15,9959.32,10658.407
2009-07-15,9863.45,10457.635
2009-07-15,9805.02,10249.183
2009-07-15,9775.32,10084.241
2009-07-15,9722.84,10023.558
2009-07-15,9742.07,9919.752
2009-07-15,9897.7,9904.786
2009-07-15,10282.43,9894.878
2009-07-15,10764.12,10044.533
2009-07-15,11496.71,10272.139
2009-07-15,12103.06,10513.037
2009-07-15,12124.66,11038.838
2009-07-15,12008.53,11810.869
2009-07-15,11752.97,12268.646
2009-07-15,11531.19,12357.8545
2009-07-15,11372.76,12318.321
2009-07-15,11148.57,12205.318
2009-07-15,10834.12,12135.32
2009-07-15,10426.17,12060.685
2009-07-15,10464.51,11850.185
2009-07-15,10024.51,11506.282
2009-07-15,9682.68,11179.271
2009-07-16,9390.57,10994.062
2009-07-16,9105.8,10540.835
2009-07-16,8855.63,10140.536
2009-07-16,8681.06,9753.706
2009-07-16,8380.7,9557.005
2009-07-16,7970.86,9423.18
2009-07-16,7612.03,9275.321
2009-07-16,7337.78,8944.344
2009-07-16,7184.9,8396.825
2009-07-16,7128.84,7905.3267
2009-07-16,7198.92,7561.0957
2009-07-16,7462.65,7401.657
2009-07-16,7880.19,7323.954
2009-07-16,8744.73,7397.7607
2009-07-16,9499.93,7740.8335
2009-07-16,9944.84,8334.644
2009-07-16,10629.43,9522.398
2009-07-16,10991.17,10367.814
2009-07-16,11115.89,10895.328
2009-07-16,11237.69,11391.305
2009-07-16,11185.01,11512.58
2009-07-16,11037.0,11477.276
2009-07-16,10869.02,11461.794
